标题,日期,时间,板块1,标的组合1,板块2,标的组合2,板块3,标的组合3,板块4,标的组合4,板块5,标的组合5,板块6,标的组合6,板块7,标的组合7,板块8,标的组合8,板块9,标的组合9,板块10,标的组合10,板块11,标的组合11,板块12,标的组合12,板块13,标的组合13,板块14,标的组合14,板块15,标的组合15,简述,推荐理由,预期,原文
【信达消费】黄金珠宝行业更新,2025-07-07,09:24,黄金珠宝,老凤祥、周大福、周大生、潮宏基、曼卡龙、菜百,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黄金珠宝行业25Q2终端景气度修复，预计25Q3品牌端经营业绩拐点出现。头部品牌如老凤祥、周大福等有望迎来环比明显改善，差异化品牌潮宏基等实现逆势增长。,金价稳定利好观望情绪消化，头部品牌市占率稳健且产品结构优化，差异化品牌锚定细分需求实现增长。,25Q3传统品牌经营业绩拐点出现，头部品牌恢复进度领先，差异化品牌继续保持景气增长。,"【信达消费】黄金珠宝行业更新

[太阳]终端景气度
从华中地区样本来看，我们预计25Q2行业头部品牌整体有望实现双位数左右的终端同店增长（仅代表部分加盟商），具体分月度看，4-5月增长较好，除低基数因素外，5月还有端午节加持，而6月景气度稍弱一是因为没有节假日，二是因为连续下雨天气。整体来看，25Q2呈现景气度修复趋势，终端动销迈过拐点。

[太阳]前景展望
我们认为后续核心变量之一仍是金价，若能维持相对稳定会更利好观望情绪消化，保证景气度25Q3的持续修复，而从加盟商环节到品牌环节，由于备货节奏的影响，我们预计品牌端整体经营业绩拐点有望在25Q3出现，部分品牌可能恢复稍快。

[太阳]品牌洞察
行业整体承压，中小品牌、水贝模式、夫妻店等形式是闭店主流，头部品牌虽仍有一定收缩，但多数是加盟商去芜存菁，略微降低门店密度以保证单店盈利，实际市占率可能还有所提高；在这一趋势下，潮宏基等差异化品牌异军突起，锚定细分人群细分需求实现逆势增长，依托品类结构优势保证单店盈利水平，吸引加盟商。

[太阳]投资观点
我们预计传统品牌整体在25Q3有望迎来经营业绩拐点（若金价无异常波动），其中老凤祥依托品牌力与大商模式优势，品类结构变化，恢复进度或相对领先，其他头部品牌如周大福、周大生等亦有望迎来环比明显改善，核心支撑在于若金价保持相对稳定，大众消费基本盘逐渐消化观望情绪，头部市占率仍然稳健且产品结构持续优化见效；K型分化主线则有望继续保持景气，一是精品金饰如老铺、潮宏基、曼卡龙等，二是投资金如菜百。

📞联系人：姜文镪18817619332/骆峥13317566299"
【最新军工周观点：短期回调不改上行趋势，坚定看好三季度板块贝塔行情！-250706】,2025-07-07,09:24,军工,中航光电、菲利华、航天电器、中航西飞、北化股份、芯动联科、国睿科技、洪都航空、中航沈飞、航天南湖、中科星图、七一二、海格通信、光电股份、中兵红箭、北方导航、国博电子、国科军工、高德红外、中无人机、航天彩虹、航天电子、中航成飞、中直股份、内蒙一机,,,,,,,,,,,,,,,,,,,,,,,,,,,,,军工板块短期回调不改上行趋势，坚定看好三季度板块贝塔行情。推荐底部白马公司及智能化作战底座、低成本精确制导弹药、无人系统、军贸四大主线。,国际局势紧张，军费开支增加，军贸需求上升；国内需求见底回升，阅兵新装备亮相催化板块行情。,军工板块基本面复苏力度边际加大，三季度有望迎来板块行情，整体复苏力度有望明显加大。,"【最新军工周观点：短期回调不改上行趋势，坚定看好三季度板块贝塔行情！-250706】

领导好！我汇报一下本周最新观点：

[發][發][發]上半年看好结构性个股，下半年更看好军工板块整体贝塔机会！当前首推四个底部白马公司：中航光电、菲利华、航天电器、中航西飞；

[發][發][發]其次继续推荐五个中线核心公司：北化股份、芯动联科、国睿科技、洪都航空、中航沈飞；

[庆祝]1、上周军工板块先涨后跌，较上周微涨1%左右，整体已走出震荡区间开始向上，当前属于上涨中的回踩。2025年上半年，军工板块基本面呈现内冷外热的状态，一方面国际局势持续紧张，外围连续发生印巴空战、俄乌战争白热化、以色列/美国闪击伊朗等局部战争，美欧等西方大国均表态未来将大幅提升军费开支，国际军贸需求水涨船高；另一方面国内上半年行业需求见底回升，整体呈现结构性弱复苏态势，主要增长点集中在兵器、船舶、军贸等领域，军工板块指数涨幅有限，高景气板块个股弹性较大；

[庆祝]2、展望下半年，军工国内需求增长点有望加快扩散，同时军贸订单或将持续落地，整体复苏力度有望明显加大，有利于板块行情的展开。同时，今年9月3日是抗战胜利80周年纪念日，确定将举办盛大阅兵仪式，在展示新一代传统装备的同时，也会安排部分无人智能、水下作战、网电攻防、高超声速等新型作战力量参阅，基本面复苏力度边际加大+阅兵新装备亮相有望对三季度军工板块形成较大催化。建议回调中逐步加大布局力度，迎接三季度板块行情到来；

[庆祝]3、近期我们团队密集调研，更新基本面如下：

3.1、国内需求（第一增长曲线）：低成本精确制导弹药、无人系统已经成为当前主要新的驱动力；信息化智能化作战底座（态势感知、通信指挥、电子对抗）建设刻不容缓，下半年部分传统军工领域复苏加快；

3.2、军贸需求（第二增长曲线）：百年未有之大变局进入冲突密集落地期，军贸产业有望在25年下半年迎来密集下单交付期，建议特别关注新客户、新产品和体系化解决方案的落地；

3.3、泛军工需求（第三增长曲线）：重点关注大飞机、低空经济、商业航天、深海科技四大方向。大飞机产业链国产化空间广阔，产能扩张明确可期；商业航天有望在下半年进入高频次发射窗口，低空经济进入飞服平台、基础设施建设元年，深海科技相关郑策有望密集推出，上述四大领域投资机会有望在下半年持续轮动；

[庆祝]4、整体策略层面当前首推板块底部白马公司。其次继续推荐建体系（智能化作战底座）、补短板（低成本精确制导弹药、无人系统）、走出去（军贸）三大主线和四大赛道。

[發]底部白马：中航光电、菲利华、航天电器、中航西飞；

[發]智能化作战底座：国睿科技、航天南湖、中科星图、七一二、海格通信；

[發]低成本精确制导弹药：北化股份、芯动联科、光电股份、中兵红箭、北方导航、国博电子、国科军工、高德红外；

[發]无人系统：洪都航空、中无人机、航天彩虹、航天电子；

[發]军贸：中航沈飞、中航成飞、中直股份、内蒙一机；

[太阳]以上标的均可随时安排调研交流和路演汇报，有任何需求可以随时私信！拜托您二季度打分继续鼎力支持！非常感谢！[玫瑰][玫瑰][玫瑰]"
[玫瑰]【东北医药】反制欧盟IPI政策出台，国产替代逻辑兑现,2025-07-07,09:19,医疗器械,奕瑞科技、联影医疗、惠泰医疗、微电生理、归创通桥、心脉医疗、先健科技、佰仁医疗、乐普医疗、迈瑞医疗、新产业,内窥镜设备,卡尔蔡司、卡尔史托斯,心血管高值耗材,美敦力、巴德、库克、戈尔,IVD,雅培、罗氏、迈瑞医疗、新产业、乐普医疗,,,,,,,,,,,,,,,,,,,,,,,欧盟对中方采取惩罚性措施，中方反制政策出台，推动医疗器械国产替代。涉及大型影像设备、内窥镜设备、心血管高值耗材和IVD领域，国产企业如奕瑞科技、联影医疗等迎来发展机遇。,反制政策加速国产替代，国产企业在技术、产品和市场占有率上已有突破，业绩增长确定性增强。,国产医疗器械企业市占率有望进一步提升，相关企业业绩增长预期强烈，板块整体表现看好。,"[玫瑰]【东北医药】反制欧盟IPI政策出台，国产替代逻辑兑现
[太阳]事件：欧盟对中方采取惩罚性措施，中国企业未来5年将被限制参与价值超过500万欧元的欧盟医疗器械公共招标项目；7月3日财政部下发反制措施，要求4500万人民币以上的政府采购活动中排除欧盟企业（不包括在华欧资企业）参与，且其他参与企业提供的欧盟进口产品不得超合同总金额50%。
[爆竹]涉及产品类别与品牌：
【大型影像设备】飞利浦的球管主要由德国汉堡工厂生产
【内窥镜设备】卡尔蔡司内窥镜暂无国产注册证；卡尔史托斯内窥镜国产化于2024年末获批
【心血管高值耗材】业内工厂全球集中美国和欧盟（尤其爱尔兰），包括美敦力、巴德、库克、戈尔等
【IVD】雅培以爱尔兰和德国工厂为主，国产注册证稀少；罗氏也有部分产品由德国/奥地利工厂生产
[烟花]影像设备：率先突破未完成国产化的高端设备【奕瑞科技/联影医疗】
<e type=""hashtag"" hid=""48888522441858"" title=""%23%E5%A5%95%E7%91%9E%E7%A7%91%E6%8A%80%23"" /> 数字化X线核心部件全影像链，CT球管、光子计数等产品锐意开发中；<e type=""hashtag"" hid=""88814452148182"" title=""%23%E8%81%94%E5%BD%B1%E5%8C%BB%E7%96%97%23"" /> 基本实现全链条全产品线自主可控，国内市占率梯度突破，海外高端突破+新兴市场渗透双线并举。
[烟花]心血管介入：集采洗牌与产品迭代的国产化机遇【惠泰医疗/微电生理/归创通桥/心脉医疗/先健科技/佰仁医疗/乐普医疗】
国产Fast-Follow已在多条管线上实现产品性能甚至上市速度反超，集采优化下以价换量、手术渗透率提升，业绩确定性增强。
[烟花]IVD：加速替代罗雅贝西【迈瑞医疗/新产业/乐普医疗】
雅培受本次影响最大、罗氏也受到一定冲击（贝西美国+中国工厂）。我国IVD市场的国产化率不及一半，期待事件催化。
————————
欢迎联系东北证券医药组或对口销售"
🍁# 澳洲储能补贴收益标的艾罗能源及固德威！,2025-07-07,09:18,新能源,艾罗能源、固德威、锦浪科技、阳光电源、海博思创,,,,,,,,,,,,,,,,,,,,,,,,,,,,,澳洲启动23亿澳元家用电池补贴计划，中国新能源企业如艾罗能源、固德威等将显著受益。,澳洲家用电池补贴计划将大幅提升户储需求，中国企业在澳洲市场占据主导地位，相关公司营收和出货量预期增长显著。,预计澳洲户储需求将增长5-10倍，相关公司如艾罗能源、固德威等7月排产好于预期，板块基本面持续向好。,"🍁# 澳洲储能补贴收益标的艾罗能源及固德威！

澳洲启动23亿澳元(15亿美元)廉价家用电池计划，# 要点如下：

时间点：# 从25年7月1日起，持续到2030年，补贴系数逐年缓慢抵减；
容量范围：5-50kwh，主要覆盖家庭和小型工商业企业；

# 补贴： a）联邦补贴：可以享受最高372澳元/kWh(约1720人民币/kWh)的补贴，# 相当于目前安装成本的30%! b）可与其他地方州补叠加：# 如南澳、新南等州额外提供2000-4000澳元不等的户储补贴； 3）长期低息贷款：提供利率低于3%的长期贷款；

其他要求：必须配套光伏（# 可扩容或补装电池），系统支持VPP虚拟电厂功能；

# 考虑补贴后回收期仅3-5年： 按澳洲电价0.25-0.3美元/kwh，按电池372澳元/kwh补贴，# 投资回收期仅3-5年！

# 目前户储渗透率不到10%： 截止25年5月底，# 澳大利亚已安装410万台小型光伏系统（与德国基本相当），对应总装机26.5GW，过去5年年新增在30-40万台之间，# 累计同步安装的储能系统仅13.8万台（约1.5Gwh，自愿披露数据，实际可能更高），24年新增储能系统3.1万台（约0.4Gwh），# 小型光伏累计配储比例不到4%，# 25年新增配储比例约10%（德国接近80%）。

# 预计澳洲需求体量相当于德国的60-70%： 澳大利亚光储咨询公司SunWiz预测未来12个月内澳洲将至少安装10-15万台户储，2026年或达到20万台，之后每年30万台，# 较2024年增长10倍! 补贴一直持续到2030年，# 实际补贴数量不设上限！

# 目前中国企业在澳洲市场占据绝对分额，除思格、阳光份额较高，其他相关上市公司主要是固德威（24年4+亿营收）、艾罗能源和锦浪科技（24年1亿元营收），# 均将受益于澳洲户储需求5-10倍需求增长！

结合近期基本面变化来看，# 艾罗能源近期变化最显著（按6-7月出货展望，弹性巨大），固德威、德业锦浪等7月排产均好于预期，# 一方面来自澳洲市场爆发，此外全球市场工商储同步爆发，欧洲户储库存见底，新兴市场需求持续，# 行业基本面远好于24年，我们认为板块当前基本面具备持续性，此外考虑光储情绪有修复，估值和筹码结构均在低位，当前位置强烈推荐储能板块：

# 弹性方向：艾罗能源、固德威，此外锦浪德业等！
# 大储继续看好： 阳光电源（Q2及全年预期差很大）、海博思创（# 国内独立储能预期差极大，海外有beta）"
GB300出货，Meta拟再投数千亿美元发展超级智能【建投通信 周观点】,2025-07-07,09:18,通信,中国移动、新易盛、源杰科技、天孚通信、七一二、润泽科技,AI,Meta、英伟达、Oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,AI发展推动算力需求持续强劲，Meta计划投入数千亿美元发展超级智能，通信板块推荐标的包括中国移动等。,AI技术的快速发展和对算力的巨大需求，预计将持续推动相关公司的业绩增长，特别是在通信和AI领域。,AI推动的算力投资预计将持续强劲，相关公司业绩有望实现高增长，通信和AI板块可能迎来上涨。,"GB300出货，Meta拟再投数千亿美元发展超级智能【建投通信 周观点】

[玫瑰]核心观点：

1、CoreWeave 宣布成为首家部署英伟达GB300 NVL72系统的云服务商。Oracle披露签署多项大型云协议，其中一项可从 2028 财年开始每年贡献超 300 亿美元收入。Meta重组AI部门成立MSL，未来几年将投入数千亿美元瞄准超级智能。总体来看，AI的发展依然日新月异，对算力的需求预计将持续强劲。

2、当前，市场可能因算力板块短期的快速上涨及美国的关税问题而偏向观望，走势可能偏震荡，但我们认为AI推动的算力投资未来预计依然强劲，继续推荐：一是业绩持续高增长且估值仍处于历史较低水平的标的；二是有望享受外溢需求、取得客户或份额突破的公司；三是上游紧缺的环节；四是1.6T及CPO产业。

[玫瑰]重点推荐：中国移动、新易盛、源杰科技、天孚通信、七一二、润泽科技。"
[礼物]【湖北光产业】交流更新，# 重点推荐烽火通信&汇绿生态,2025-07-07,09:19,光通信,烽火通信、汇绿生态、华工科技、长盈通、联特科技、光迅科技,半导体,旭创、源杰,,,,,,,,,,,,,,,,,,,,,,,,,,,湖北光产业交流更新，重点推荐烽火通信和汇绿生态，海外800G/1.6T需求展望乐观，硅光加速渗透，Meta等望7月审厂新供应商，国产算力侧Q2-3季度发货旺盛。,烽火通信业绩加速释放，绑定华为昇腾金融客户份额靠前；汇绿生态产能大幅增加，客户加速拓展，公司加速协同；硅光加速渗透，旭创、源杰等有望优先受益。,烽火通信和汇绿生态业绩有望加速释放，硅光相关公司如旭创、源杰等有望优先受益，光通信板块整体表现值得期待。,"[礼物]【湖北光产业】交流更新，# 重点推荐烽火通信&汇绿生态

①26年海外800G/1.6T需求展望乐观；
②硅光加速渗透，旭创/源杰等有望优先受益
③Meta等望7月审厂新供应商
④国产算力侧Q2-3季度发货旺盛

重点推荐：
[拳头]# 烽火通信：①业绩加速释放；②绑定华为昇腾金融客户份额靠前
[拳头]# 汇绿生态：①产能大幅增加；②客户加速拓展；③公司加速协同
[拳头]# 其他：华工科技、长盈通、联特科技、光迅科技等"
【招商化工】建议关注广信材料！海洋经济龙头股价回调带来买入机会,2025-07-07,09:07,化工,广信材料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,广信材料海工涂料新产品性能优越，百亿市场空间待开启，预计2025年三季度开始放量。,公司环保型高性能石墨烯改性重防腐系列涂料产品性能优越，国内竞争优势显著，所处行业国产替代率低，市场空间广阔。,预计2025年三季度开始实现在战略领域大型企业相关产品的逐步放量，业绩大幅改善，对应近300亿空间。,"【招商化工】建议关注广信材料！海洋经济龙头股价回调带来买入机会
公司海工涂料新产品性能优越，百亿市场空间待开启。公司环保型高性能石墨烯改性重防腐系列涂料产品性能优越，国内竞争优势显著，所处行业国产替代率仅小个位数，国内具有三百亿广阔空间，全球则有千亿市场，预计2025年三季度将开始实现在战略领域大型企业相关产品的逐步放量。当前公司进行的 NORSOK M -501标准检测认证在第三方机构已经完成检测，期间产品性能指标优越不存在整改重新样情况，按照预估时间应该在7月可以拿到检测报告。

🌟公司海工涂料采用石墨烯改性路线，涂覆后维持时间显著长于现有市场其他产品，客户应用后运维频率和运维成本将显著下降。随着在下游战略客户放量，产品有望进一步打开应用空间，且公司业绩去年低基数，进行较大额各类减值，今年预计业绩大幅改善。理论上假设给到未来30%的市占率，对应90亿收入空间，若按照净利润率15%进行估算，大约能贡献13.5亿利润，考虑到该业务成长性较强且竞争优势显著，若给20倍估值，则对应近300亿空间！"
<天风食饮|张潇倩> 食饮周观点：生育补贴政策或催化情绪，看好大众品三大催化下表现（20250706）,2025-07-07,09:07,白酒,酒鬼酒、舍得、贵州茅台、山西汾酒,食品加工,煌上煌、西麦、锅圈、卫龙、华润啤酒、千味、农夫、东鹏、青岛啤酒、珠江啤酒、百润、香飘飘、有友、统一、盐津、万辰、伊利、妙可、立高、安琪、日辰、宝立、百龙、H&H、蒙牛、君乐宝、澳优、露露、劲仔,,,,,,,,,,,,,,,,,,,,,,,,,,,白酒板块关注度升温，酒鬼酒与胖东来合作，舍得预期Q2业绩正增长。大众品板块受生育补贴政策催化，东鹏、卫龙等公司表现亮眼。,白酒板块因位置低、分红率高及政策潜在触底受到关注。大众品板块受生育补贴政策、6月数据及Q2业绩前瞻三大催化，表现有望改善。,白酒板块中期看具备强配备价值，大众品板块回调为加仓良机，预计相关公司Q2利润增长>=15%。,"<天风食饮|张潇倩> 食饮周观点：生育补贴政策或催化情绪，看好大众品三大催化下表现（20250706）

本周沪深300/食饮/白酒板块涨跌幅+1.78%/+0.63%/+1.19%，食品加工/白酒小幅正增长，白酒中酒鬼酒（与胖东来合作，月底或宣布定价）/舍得（预期Q2业绩正增长）涨幅向好；个股方面，A：煌上煌/酒鬼酒/西麦涨幅>3%；H：锅圈（6月同店高基数下个位数增长）涨幅17%，卫龙（魔芋进山姆）/华润啤酒涨幅居前。

1⃣ 白酒：近期白酒关注度升温，消费群体开拓进行时
在板块持续回调下，近期市场基于""位置低/分红率/政策导致潜在触底“等角度对板块关注度提升，我们基于板块Q2业绩承压&Q2/全年业绩均有潜在下修风险，仍关注8-10月预期触底后中期布局机会。另外，当前酒企积极开拓新消费群体（低度化年轻化国际化 拥抱高新技术企）&加速渠道开拓（积极拥抱线上/即时零售/调改商超等）。
投资建议：看好业绩预期具确定性&强α酒企穿越周期表现（贵州茅台/山西汾酒）；中期看目前白酒非常便宜，股息率/分红率角度可积极看待板块投资机会，具备强配备价值。

2⃣大众品：生育补贴有望年内落地，三大点催化板块表现
近期大众品板块核心催化位6月数据&Q2业绩前瞻&事件催化（阿洛酮糖/生育补贴等），虽近期板块个股回调明显，但亦为加仓良机：
一、单6月数据（近期跟踪）：千味销量环比改善；农夫东北区域增长60%+；截止6.23东鹏动销环比加速；青岛啤酒销量持平；珠江啤酒Q2销量+中单不到；百润线下下滑20-30%；香飘飘冲泡小幅下滑&即饮略增；锅圈6月同比中单增长；有友山姆渠道发货5000-6000W；卫龙6月整体增长23%...  强α公司延续数据改善趋势，啤酒板块6月销量表现未超预期，均反应在近期盘面。
二、业绩前瞻：预计东鹏/统一/农夫/西麦/盐津/卫龙/万辰/伊利/妙可/立高/安琪/日辰/宝立/百龙/锅圈/H&H等Q2利润>=15%+(欢迎索取详细业绩前瞻，本周预期未有明显调整)。
三、事件催化：① 生育补贴：全国性生育补贴政策或年内落地利好乳制品（特别是奶粉占比高）企业，其中Q2：伊利奶粉环比向好/蒙牛&君乐宝&澳优&HH均正增长（HH上调业绩指引）；② 阿洛酮糖：阿洛酮糖审批落地下，白龙等公司将受益于新增市场开拓&产能释放等催化阶段性上涨，但市场担忧后期产能释放带来的价格下滑问题（比如赤藓糖醇），或影响估值上限表现
投资建议：仍建议——回调可+：东鹏/卫龙/盐津/百润/百龙等；现价可看：露露/劲仔/立高/西麦/锅圈/伊利等。

天风食饮 张潇倩Iris"
【国投汽车】重申L2强标观点：强call 中国汽研、禾赛科技-20250707,2025-07-07,09:07,汽车检测,中国汽研,激光雷达,禾赛科技,,,,,,,,,,,,,,,,,,,,,,,,,,,L2强制性标准出台，中国汽研和禾赛科技成为主要受益者。,中国汽研作为唯一上市公司检测机构，将直接受益于L2强检业务；禾赛科技的激光雷达因强标测试难度大，成为主机厂应试首选。,中国汽研预计利润弹性达2.4亿；禾赛科技激光雷达渗透率预计从50%提升至80%。,"【国投汽车】重申L2强标观点：强call 中国汽研、禾赛科技-20250707

1、写在前面，再次总结一下此次L2强标为何重要？
1）强制性标准：国家标准体系大体分为两类，推荐性标准（GB/T）和强制性标准（GB），强制性标准具有法规约束力。此前所有L2 ADAS标准均为推标，这是L2首个强制性标准。#这里需要注意的是覆盖所有L2，不仅仅是NOA功能。
2）脱胎于欧标R171，但严格程度更甚，如新增各种工况下的施工场景、雨雾天气的测试等等。<e type=""hashtag"" hid=""51184882428154"" title=""%23%E5%8F%AF%E4%BB%A5%E7%A7%B0%E4%B9%8B%E4%B8%BA%E5%85%A8%E7%90%83%E6%9C%80%E4%B8%A5L2%E6%A0%87%E5%87%86%E3%80%82%23"" />

2、基于上述逻辑，检测类机构（中国汽研）首先受益。
1）强制性标准必须在有牌照第三方机构出具报告，汽研是唯一上市公司，L2强检业务是纯增量，汽研非常确定性的受益。
2）假设L2强检测试费用200万/车型，加上强检带来的衍生研发过程测试需求，我们中性测算预计可为汽研带来2.4e的利润弹性。

3、除汽研外，第二顺位推荐激光雷达（禾赛科技）。
1）由于强标测试难度很大，对于大多数能力不行的主机厂，激光雷达是一个非常好的应试“作弊神器”。
2）当前激光雷达的渗透率≈城市NOA渗透率-纯视觉方案；但为了过L2强标，高速NOA功能也需要搭载激光雷达来“应试”，对应2030年远期L2激光雷达渗透率从50%上修到80%。

4、长期看L2强标对整个智驾产业的影响都会非常深远。
1）前视一体机通过L2强标的难度很大，加快域控对前视一体机产品的替代。
2）方案加速收敛，由于“同一型式判定”，更换传感器供应商或型号都需要重新进行检测，利好头部供应商。"
20250707复盘,2025-07-07,09:17,金融科技,华为（花瓣支付）、字节跳动（抖音支付）,人工智能,CoreWeave、富士康、英伟达、HW Pangu,半导体,恩智浦,无人驾驶,,固态,奇瑞固态电池研究院,军工,,地产,鹏城地产,外卖,淘宝闪送、美团闪送、京东闪送、美团,电力,,卫星,,银行,,传媒,,公用事业,,创新药,,钢铁,,金融科技领域华为和字节跳动获支付牌照，人工智能和半导体行业有重大进展，无人驾驶和固态电池领域有新动态，军工和地产板块有政策传闻，外卖市场竞争加剧。,金融科技牌照发放显示行业规范化趋势，人工智能和半导体技术进步推动行业发展，无人驾驶和固态电池技术突破带来新机遇，军工和地产政策预期影响市场情绪，外卖市场竞争加剧反映行业活力。,金融科技板块可能迎来规范化发展，人工智能和半导体行业有望持续增长，无人驾驶和固态电池技术突破可能带动相关股票上涨，军工和地产板块受政策影响可能出现波动，外卖市场竞争加剧可能影响相关公司业绩。,"20250707复盘

宏观&关税：
1.	特朗普签署“大而美”税收和支出法案。
2.	KALSHI平台显示美国经济衰退概率骤降至 19%。
3.	马斯克宣布“美国党”成立，表达了六大核心主张。
4.	特朗普称8月1日起实施新关税，新关税的税率可能从10%到70%不等。随后贝森特表示1号才开始征收没达成协议的关税。
5.	柬埔寨政府4日宣布，已与美国在关税谈判中达成协议。
6.	消息人士：印度与美国小型贸易协议下的平均关税税率可能为 10%。
7.	贝森特称与欧盟的贸易磋商正在推进，未来两天或宣布重大消息。
8.	国内7月5日起对原产于欧盟的进口相关白兰地征收反倾销税，实施期限5年；同时还有对等的医疗器械相关。
9.	8个主要产油国决定，8月日均原油产量将增加54.8万桶，较7月的41.1万桶增幅进一步扩大。

量化：
1.	量化交易新规周一实施。
2.	美国量化交易巨头Jane Street于2025年7月被印度证券交易委员会禁止参与印度市场交易。

金融科技：
1.	央行就《人民币跨境支付系统业务规则（征求意见稿）》公开征求意见。
2.	新规后首批支付牌照名单出炉，华为（花瓣支付）、字节跳动（抖音支付）等13家机构获长期许可，5家退出。

反内卷：
卖方：市场对于政策力度，每一轮都有从“将信将疑”到逐步确认的过程。股价上涨需要看到的基本面信号（涨价或资产周转率提升）。需求侧的验证影响行情的广度与深度。本轮仍在等更强的政策信号和价格验证。

人工智能：
1.	CoreWeave 率先部署首台 NVIDIA GB300 NVL72 系统。
2.	卖方：富士康已成功斩获英伟达下一代GB300 AI服务器的最大订单。
3.	HW Pangu 员工自曝:套壳、续训、洗水印。
4.	传美正计划限制英伟达等公司的人工智能芯片运往马来西亚和泰国后流入中国。

半导体：
1.	深圳出台10条举措促进半导体与集成电路产业高质量发展。
2.	荷兰半导体巨头恩智浦加码中国本土供应链。

无人驾驶：
北京经开区企业牵头制定，无人配送领域两项团体标准正式通过立项评审。

固态：
奇瑞固态电池研究院已有约50人 计划年底扩招至近百人。

军工：
德国正考虑采购多达2500辆装甲战车和1000辆主战坦克，总价值可能高达250亿欧元，以装备北约要求其在未来十年内组建的七个作战旅。

地产：
传闻鹏城地产政策。

外卖：
淘宝闪送加入美团闪送、京东闪送大战。美团7月5日订单破亿，平台挤崩。

电力：
全国用电负荷超14亿千瓦 创历史新高。

卫星：
中巴双方共同见证签署财政金融、人工智能、发展战略对接、航天等领域合作文件。

策略观察：
1.周五成交14285亿，增量1188亿。周四指数重拾向上预期，周五立马冲了3500，之前也提过是大阻力位，这个回落也不会太意外，周末关税延期消息可能还能帮指数再冲一把，要过3500站稳的预期不高，走出来就按照超预期理解。恒科弱势因为外卖战等因素需要消化，但是大家都下调完业绩预期就显然是买点了，恒科要能提前无视业绩利空预期反弹就真牛逼了。
2. 板块方面，银行（没特别催化）、传媒（游戏趋势强化）和公用事业（电力）领涨。
3. 题材方面，稳定币周四看到蠢蠢欲动，周五资金引导猛冲，但被兑现的也是厉害，周末热度还是不减，稳定币是表象，主要还是做指数。创新药也比较强势，预期要做到下一个大bd，电力是每年都会阶段炒一把的小题材，反内卷这边钢铁相对领头，半导体先进制程也是有些异动。调整的题材类似军工（深海和卫星也都算进来吧）这些筹码整理完还有反弹预期，就像创新药之前的节奏。周一要7点起，不能熬了，简略一点点。"
